Country_Code,Country_Name,Transparency_Rank,CY2015,CY2014,CY2013,CY2012
AFG,Afghanistan,166,11,12,8,8
AGO,Angola,163,15,19,23,22
ALB,Albania,88,36,33,31,33
ARE,United Arab Emirates,23,70,70,69,68
ARG,Argentina,107,32,34,34,35
ARM,Armenia,95,35,37,36,34
AUS,Australia,13,79,80,81,85
AUT,Austria,16,76,72,69,69
AZE,Azerbaijan,119,29,29,28,27
BDI,Burundi,150,21,20,21,19
BEL,Belgium,15,77,76,75,75
BEN,Benin,83,37,39,36,36
BFA,Burkina Faso,76,38,38,38,38
BGD,Bangladesh,139,25,25,27,26
BGR,Bulgaria,69,41,43,41,41
BHR,Bahrain,50,51,49,48,51
BIH,Bosnia and Herzegovina,76,38,39,42,42
BLR,Belarus,107,32,31,29,31
BOL,Bolivia,99,34,35,34,34
BRA,Brazil,76,38,43,42,43
BTN,Bhutan,27,65,65,63,63
BWA,Botswana,28,63,63,64,65
CAF,Central African Republic,145,24,24,25,26
CAN,Canada,9,83,81,81,84
CPV,Cape Verde,40,55,57,58,60
CHE,Switzerland,7,86,86,85,86
SYR,Syria,154,18,20,17,26
CHL,Chile,23,70,73,71,72
CHN,China,83,37,36,40,39
CIV,Cote d'Ivoire,107,32,32,27,29
CMR,Cameroon,130,27,27,25,26
COL,Colombia,83,37,37,36,36
COM,Comoros,136,26,26,28,28
COG,Congo Republic,146,23,23,22,26
CRI,Costa Rica,40,55,54,53,54
CUB,Cuba,56,47,46,46,48
CYP,Cyprus,32,61,63,63,66
CZE,Czech Republic,37,56,51,48,49
COD,Democratic Republic of the Congo,147,22,22,22,21
DEU,Germany,10,81,79,78,79
DJI,Djibouti,99,34,34,36,36
DNK,Denmark,1,91,92,91,90
DOM,Dominican Republic,103,33,32,29,32
DZA,Algeria,88,36,36,36,34
EGY,Egypt,88,36,37,32,32
ECU,Ecuador,107,32,33,35,32
ERI,Eritrea,154,18,18,20,25
ESP,Spain,36,58,60,59,65
EST,Estonia,23,70,69,68,64
ETH,Ethiopia,103,33,33,33,33
FIN,Finland,2,90,89,89,90
FRA,France,23,70,69,71,71
GAB,Gabon,99,34,37,34,35
GMB,Gambia,123,28,29,28,34
GBR,United Kingdom,10,81,78,76,74
GEO,Georgia,48,52,52,49,52
GHA,Ghana,56,47,48,46,45
GIN,Guinea,139,25,25,24,24
GNB,Guinea-Bissau,158,17,19,19,25
GRC,Greece,58,46,43,40,36
GTM,Guatemala,123,28,32,29,33
GUY,Guyana,119,29,30,27,28
HKG,Hong Kong,18,75,74,75,77
HND,Honduras,112,31,29,26,28
HRV,Croatia,50,51,48,48,46
HTI,Haiti,158,17,19,19,19
HUN,Hungary,50,51,54,54,55
IDN,Indonesia,88,36,34,32,32
IRN,Iran,130,27,27,25,28
IND,India,76,38,38,36,36
IRL,Ireland,18,75,74,72,69
IRQ,Iraq,161,16,16,16,18
ISL,Iceland,13,79,79,78,82
ISR,Israel,32,61,60,61,60
ITA,Italy,61,44,43,43,42
JAM,Jamaica,69,41,38,38,38
JOR,Jordan,45,53,49,45,48
JPN,Japan,18,75,76,74,74
KAZ,Kazakhstan,123,28,29,26,28
KEN,Kenya,139,25,25,27,27
KGZ,Kyrgyzstan,123,28,27,24,24
KHM,Cambodia,150,21,21,20,22
KIR,Korea (South),37,56,55,55,56
KOR,Korea (North),167,8,8,8,8
KSV,Kosovo,103,33,33,33,34
KWT,Kuwait,55,49,44,43,44
LAO,Laos,139,25,25,26,21
LBN,Lebanon,123,28,27,28,30
LBR,Liberia,83,37,37,38,41
LBY,Libya,161,16,18,15,21
LKA,Sri Lanka,83,37,38,37,40
LSO,Lesotho,61,44,49,49,45
LTU,Lithuania,32,61,58,57,54
LUX,Luxembourg,10,81,82,80,80
LVA,Latvia,40,55,55,53,49
MAR,Morocco,88,36,39,37,37
MDA,Moldova,103,33,35,35,36
MDG,Madagascar,123,28,28,28,32
MEX,Mexico,95,35,35,34,34
MLI,Mali,95,35,32,28,34
MLT,Malta,37,56,55,56,57
MMR,Myanmar,147,22,21,21,15
MNE,Montenegro,61,44,42,44,41
MNG,Mongolia,72,39,39,38,36
MOZ,Mozambique,112,31,31,30,31
MRT,Mauritania,112,31,30,30,31
MUS,Mauritius,45,53,54,52,57
MWI,Malawi,112,31,33,37,37
MYS,Malaysia,54,50,52,50,49
NAM,Namibia,45,53,49,48,48
NER,Niger,99,34,35,34,33
NGA,Nigeria,136,26,27,25,27
NIC,Nicaragua,130,27,28,28,29
NLD,Netherlands,5,87,83,83,84
NOR,Norway,5,87,86,86,85
NPL,Nepal,130,27,29,31,27
NZL,New Zealand,4,88,91,91,90
OMN,Oman,60,45,45,47,47
PAK,Pakistan,117,30,29,28,27
PAN,Panama,72,39,37,35,38
PER,Peru,88,36,38,38,38
PHL,Philippines,95,35,38,36,34
PNG,Papua New Guinea,139,25,25,25,25
POL,Poland,30,62,61,60,58
PRT,Portugal,28,63,63,62,63
PRY,Paraguay,130,27,24,24,25
QAT,Qatar,22,71,69,68,68
ROU,Romania,58,46,43,43,44
RUS,Russia,119,29,27,28,28
RWA,Rwanda,44,54,49,53,53
SAU,Saudi Arabia,48,52,49,46,44
SDN,Sudan,165,12,11,11,13
SEN,Senegal,61,44,43,41,36
SGP,Singapore,8,85,84,86,87
SLE,Sierra Leone,119,29,31,30,31
SLV,El Salvador,72,39,39,38,38
SOM,Somalia,167,8,8,8,8
SRB,Serbia,71,40,41,42,39
SSD,South Sudan,163,15,15,14,0
STP,Sao Tome and Principe,66,42,42,42,42
SUR,Suriname,88,36,36,36,37
SVK,Slovakia,50,51,50,47,46
SVN,Slovenia,35,60,58,57,61
SWE,Sweden,3,89,87,89,88
SYC,Seychelles,40,55,55,54,52
SYR,Taiwan,30,62,61,61,61
TCD,Chad,147,22,22,19,19
TGO,Togo,107,32,29,29,30
FSM,The FYR of Macedonia,66,42,45,44,43
THA,Thailand,76,38,38,35,37
TJK,Tajikistan,136,26,23,22,22
TKM,Turkmenistan,154,18,17,17,17
TLS,Timor-Leste,123,28,28,30,33
TTO,Trinidad and Tobago,72,39,38,38,39
TUN,Tunisia,76,38,40,41,41
TUR,Turkey,66,42,45,50,49
TZA,Tanzania,117,30,31,33,35
UGA,Uganda,139,25,26,26,29
UKR,Ukraine,130,27,26,25,26
URY,Uruguay,21,74,73,73,72
USA,United States,16,76,74,73,73
UZB,Uzbekistan,153,19,18,17,17
VNM,Vietnam,112,31,31,31,31
VUT,Venezuela,158,17,19,20,19
YEM,Yemen,154,18,19,18,23
ZAF,South Africa,61,44,44,42,43
ZMB,Zambia,76,38,38,38,37
ZWE,Zimbabwe,150,21,21,21,20