Country_Name,Country_Code,CY2003,CY2004,CY2005,CY2006,CY2007,CY2008,CY2009,CY2010,CY2011,CY2012,CY2013,CY2014
St. Lucia,LCA,72.25473171,72.61956098,72.99907317,73.36907317,73.71185366,74.01314634,74.26604878,74.47109756,74.63570732,74.77763415,74.91270732,75.04685366
Latin America & Caribbean (all income levels),LCN,72.40797836,72.66972041,72.91683044,73.15258298,73.37902285,73.59681279,73.81807413,74.03896569,74.263394,74.48755315,74.71365993,74.94206018
Least developed countries: UN classification,LDC,57.20127722,57.79177421,58.39937938,59.01532258,59.62773156,60.22593948,60.80134471,61.34570629,61.85455221,62.33010211,62.77538373,63.19044594
Low income,LIC,53.9596388,54.66061772,55.39140336,56.14015969,56.89281868,57.63477053,58.35197072,59.03193145,59.66711052,60.25992568,60.81279522,61.3250973
Liechtenstein,LIE,79.96097561,81.77073171,80.66829268,80.94878049,81.29512195,82.68292683,81.5,81.84146341,81.79268293,82.38292683,82.26097561,82.26097561
Sri Lanka,LKA,73.22231707,73.68029268,73.97356098,74.12453659,74.19412195,74.23873171,74.28029268,74.3392439,74.42456098,74.5312439,74.65382927,74.79480488
Lower middle income,LMC,63.72184465,64.03766982,64.35627038,64.68810015,65.02441089,65.35851485,65.70423051,66.04319968,66.36354807,66.66334194,66.95372466,67.22826476
Low & middle income,LMY,66.3377837,66.65997004,66.97634771,67.2955743,67.61107441,67.91875712,68.23165196,68.52850244,68.8147716,69.08370817,69.34551442,69.59407902
Lesotho,LSO,43.8247561,43.53346341,43.65773171,44.14834146,44.88221951,45.7392439,46.63458537,47.48341463,48.2197561,48.836,49.33146341,49.70058537
Lithuania,LTU,72.06097561,71.96097561,71.25365854,71.05609756,70.9,71.81219512,72.91463415,73.26829268,73.56341463,73.86341463,73.91463415,73.96585366
Luxembourg,LUX,77.72682927,79.12195122,79.43170732,79.28780488,79.38292683,80.53902439,80.63658537,80.63170732,80.98780488,81.39268293,81.8,82.20731707
Latvia,LVA,71.26585366,72.02682927,71.35609756,70.86585366,71.0195122,72.4195122,73.0804878,73.48292683,73.57560976,73.77804878,73.98292683,74.18780488
"Macao SAR, China",MAC,78.24629268,78.44812195,78.64902439,78.85156098,79.0562439,79.26460976,79.47617073,79.69039024,79.9062439,80.12317073,80.33914634,80.55309756
St. Martin (French part),MAF,77.57073171,77.72195122,77.87073171,78.07073171,78.22195122,78.37073171,78.57073171,78.72195122,78.87073171,79.02195122,79.17073171,79.32195122
Morocco,MAR,69.64536585,70.03882927,70.43982927,70.85243902,71.27763415,71.71141463,72.14821951,72.57692683,72.98543902,73.36465854,73.70904878,74.01609756
Monaco,MCO,,,,,,,,,,,,
Moldova,MDA,67.38739024,67.5245122,67.67807317,67.89590244,68.20990244,68.63002439,69.14329268,69.70926829,70.27109756,70.7724878,71.17204878,71.45587805
Madagascar,MDG,60.2355122,60.72870732,61.18729268,61.62436585,62.053,62.4827561,62.91817073,63.36173171,63.80741463,64.24665854,64.67390244,65.08560976
Maldives,MDV,72.80734146,73.61758537,74.33234146,74.92685366,75.39970732,75.75953659,76.01865854,76.2004878,76.3375122,76.46234146,76.60260976,76.77282927
Middle East & North Africa (all income levels),MEA,70.4873866,70.72562559,70.948969,71.18621351,71.41046831,71.63453712,71.85650427,72.06828143,72.25748202,72.43953027,72.63315767,72.81665963
Mexico,MEX,74.9375122,75.1154878,75.28209756,75.43878049,75.58792683,75.73246341,75.87741463,76.02678049,76.18565854,76.35409756,76.53265854,76.72185366
Marshall Islands,MHL,,,,,,,,,,,,
Middle income,MIC,67.58573463,67.88735762,68.178659,68.47029909,68.75651335,69.03412599,69.31916025,69.58959974,69.85242318,70.10007325,70.34337768,70.57576432
"Macedonia, FYR",MKD,73.8155122,73.9607561,74.08890244,74.20673171,74.32295122,74.44639024,74.57895122,74.72263415,74.8745122,75.03126829,75.18704878,75.34239024
Mali,MLI,50.85980488,51.70107317,52.57970732,53.44680488,54.26192683,54.99514634,55.63343902,56.17980488,56.65468293,57.095,57.53519512,57.98626829
Malta,MLT,78.54634146,79.25365854,79.3,79.43902439,79.79268293,79.63658537,80.24146341,81.39756098,80.74634146,80.74634146,81.74634146,81.74634146
Myanmar,MMR,63.00207317,63.28321951,63.55526829,63.8242439,64.09368293,64.36760976,64.64356098,64.9174878,65.18090244,65.42778049,65.65409756,65.85785366
Middle East & North Africa (developing only),MNA,69.93613016,70.17023568,70.3982242,70.630445,70.85555534,71.06863127,71.27744171,71.48272342,71.67007618,71.8508616,72.03949193,72.22506088
Montenegro,MNE,73.32117073,73.43378049,73.58429268,73.7855122,74.04063415,74.34543902,74.68782927,75.04529268,75.39131707,75.70507317,75.97019512,76.18070732
Mongolia,MNG,64.29626829,64.73495122,65.16692683,65.60609756,66.06817073,66.55992683,67.07680488,67.60382927,68.12253659,68.6135122,69.06180488,69.46390244
Northern Mariana Islands,MNP,,,,,,,,,,,,
Mozambique,MOZ,49.81158537,50.20963415,50.64160976,51.11526829,51.62209756,52.15056098,52.69126829,53.22690244,53.73829268,54.21212195,54.6415122,55.02595122
Mauritania,MRT,60.32543902,60.47509756,60.66036585,60.8837561,61.13973171,61.41773171,61.71073171,62.00617073,62.2924878,62.56017073,62.80270732,63.01658537
Mauritius,MUS,72.12130081,72.27674797,72.43219512,72.43219512,72.57073171,72.57073171,72.88243902,72.96731707,73.26682927,73.86341463,74.01707317,74.19439024
Malawi,MWI,45.88031707,46.95734146,48.27592683,49.81697561,51.5124878,53.28736585,55.08236585,56.8362439,58.50012195,60.05029268,61.466,62.72163415
Malaysia,MYS,73.34929268,73.48121951,73.60060976,73.71143902,73.81826829,73.92607317,74.03841463,74.15778049,74.2867561,74.42331707,74.5675122,74.71829268
North America,NAC,68.0789663,77.74935242,77.76444426,77.95675553,78.24844605,78.31380467,78.65921735,78.82593804,78.91060158,79.02296343,79.13400633,79.24414499
Namibia,NAM,54.27897561,54.92346341,55.97743902,57.32487805,58.78080488,60.18407317,61.44090244,62.48029268,63.27717073,63.88114634,64.34387805,64.68019512
New Caledonia,NCL,75.27073171,75.51463415,75.16829268,76.46097561,75.94634146,76.45609756,76.96585366,77.47317073,76.72682927,77.12195122,77.32195122,77.57317073
Niger,NER,52.65456098,53.28243902,53.93685366,54.65456098,55.45502439,56.33729268,57.28502439,58.259,59.20456098,60.07253659,60.82814634,61.4584878
Nigeria,NGA,47.63773171,48.12565854,48.6664878,49.23614634,49.80814634,50.35743902,50.86856098,51.3295122,51.73780488,52.105,52.44214634,52.75426829
Nicaragua,NIC,71.025,71.44290244,71.83809756,72.21302439,72.57165854,72.91841463,73.25478049,73.58173171,73.90129268,74.21246341,74.5147561,74.81014634
Netherlands,NLD,78.49268293,79.09512195,79.34634146,79.69756098,80.09756098,80.25121951,80.54878049,80.70243902,81.20487805,81.10487805,81.30487805,81.30487805
High income: nonOECD,NOC,70.03497739,70.38148971,70.48258224,71.1960422,71.72357976,72.01229713,72.51349281,72.74431178,73.20601195,73.63877092,73.76142471,73.88269727
Norway,NOR,79.3902439,79.84146341,80.04146341,80.34390244,80.39512195,80.59268293,80.79512195,80.99756098,81.29512195,81.45121951,81.75121951,81.75121951
Nepal,NPL,64.32043902,64.92258537,65.49429268,66.03607317,66.55192683,67.04536585,67.51839024,67.9714878,68.40663415,68.82331707,69.222,69.60468293
New Zealand,NZL,79.14634146,79.54878049,79.85121951,80.04878049,80.15121951,80.35121951,80.70243902,80.70243902,80.90487805,81.15609756,81.40731707,81.40487805
High income: OECD,OEC,75.44440438,78.84136867,78.95349862,79.27530607,79.51912368,79.67514084,79.96088355,80.15258994,80.42495653,80.54593588,80.75815452,80.8846106
OECD members,OED,75.18185742,78.11817774,78.24805661,78.55354855,78.79007202,78.95015275,79.21823087,79.40530845,79.66154444,79.78946045,79.99726467,80.13214277
Oman,OMN,73.62441463,74.023,74.40760976,74.77480488,75.12360976,75.45253659,75.76209756,76.05280488,76.32763415,76.58956098,76.84104878,77.08509756
Other small states,OSS,56.50343561,56.96133681,57.56467656,58.26795156,59.01893884,59.72116902,60.35977356,60.8965588,61.34807408,61.7378002,62.03228291,62.2866207
Pakistan,PAK,63.45834146,63.66746341,63.87763415,64.09939024,64.33873171,64.59814634,64.87609756,65.16256098,65.447,65.71687805,65.96368293,66.18336585
Panama,PAN,75.63531707,75.8037561,75.97163415,76.141,76.31446341,76.49358537,76.67695122,76.86363415,77.05168293,77.23704878,77.41921951,77.59514634
Peru,PER,71.7764878,72.13619512,72.4585122,72.74343902,72.99695122,73.22502439,73.43614634,73.63980488,73.84497561,74.05765854,74.28385366,74.52553659
Philippines,PHL,67.03892683,67.15419512,67.2664878,67.3747561,67.47902439,67.58078049,67.68104878,67.78331707,67.89065854,68.00707317,68.13156098,68.26563415
Palau,PLW,,,69.12926829,,,,,,,,,
Papua New Guinea,PNG,59.87978049,60.265,60.64307317,60.99553659,61.31141463,61.5822439,61.80804878,61.99482927,62.15263415,62.29990244,62.44917073,62.60692683
Poland,POL,74.59756098,74.84634146,74.99512195,75.14390244,75.24390244,75.54390244,75.69512195,76.24634146,76.69512195,76.74634146,77,77.25365854
Puerto Rico,PRI,78.07121951,78.17585366,78.29609756,78.41634146,78.42585366,77.90646341,78.15326829,78.41163415,78.67317073,78.92541463,79.15943902,79.37473171
"Korea, Dem. PeopleÕs Rep.",PRK,67.35473171,67.85982927,68.157,68.2927561,68.37619512,68.49195122,68.66404878,68.90002439,69.18790244,69.49419512,69.79195122,70.07468293
Portugal,PRT,77.2195122,77.67073171,78.07073171,78.4195122,78.32195122,78.52439024,78.72682927,79.02682927,80.47073171,80.37317073,80.72195122,80.72195122
Paraguay,PRY,70.84239024,71.07117073,71.28631707,71.49185366,71.69482927,71.89882927,72.10231707,72.30129268,72.48719512,72.654,72.79917073,72.92170732
Pacific island small states,PSS,67.55293627,67.81189422,68.06841613,68.2905497,68.51309579,68.7277457,68.93634701,69.14002509,69.33962584,69.53548143,69.72836332,69.91903222
French Polynesia,PYF,73.51056098,73.87031707,74.22668293,74.56995122,74.89197561,75.18665854,75.45346341,75.69539024,75.91702439,76.12702439,76.33407317,76.54168293
Qatar,QAT,76.81468293,76.91607317,77.02353659,77.14560976,77.28685366,77.4487561,77.62980488,77.8255122,78.02780488,78.22765854,78.4184878,78.59680488
Romania,ROU,71.3097561,71.59427561,71.87889512,72.16341463,72.56585366,72.56585366,73.3097561,73.45853659,74.4097561,74.41219512,75.06341463,75.06341463
Russian Federation,RUS,65.00756098,65.42121951,65.47,66.64317073,67.49756098,67.84878049,68.60487805,68.85609756,69.65853659,70.36585366,70.36585366,70.36585366
Rwanda,RWA,51.81207317,53.19763415,54.75160976,56.38665854,57.946,59.31534146,60.46597561,61.40178049,62.15536585,62.79936585,63.39482927,63.96565854
South Asia,SAS,64.06734463,64.43741752,64.80484767,65.17552135,65.55057407,65.93032108,66.31307103,66.6954657,67.07262033,67.43538543,67.7862975,68.1210446
Saudi Arabia,SAU,72.99460976,73.09346341,73.177,73.25817073,73.34507317,73.4457561,73.56426829,73.70160976,73.85485366,74.01602439,74.17763415,74.33721951
Sudan,SDN,59.0502439,59.43814634,59.84082927,60.2622439,60.70087805,61.15060976,61.60239024,62.04258537,62.45553659,62.83219512,63.16704878,63.45853659
Senegal,SEN,59.12768293,59.7185122,60.36192683,61.05407317,61.78417073,62.53507317,63.28678049,64.01443902,64.69536585,65.31887805,65.8787561,66.37258537
Singapore,SGP,79.03902439,79.4902439,79.9902439,80.14146341,80.44146341,80.7902439,81.24146341,81.54146341,81.74390244,81.99512195,82.24634146,82.64634146
Solomon Islands,SLB,64.61409756,65.11287805,65.5534878,65.93460976,66.26680488,66.56121951,66.82468293,67.06565854,67.29121951,67.50658537,67.71892683,67.93080488
Sierra Leone,SLE,41.64912195,42.63919512,43.60307317,44.54807317,45.48836585,46.42763415,47.35021951,48.22895122,49.03473171,49.74909756,50.36312195,50.87878049
El Salvador,SLV,69.58953659,69.88273171,70.17892683,70.47917073,70.78046341,71.08078049,71.37814634,71.67060976,71.95617073,72.23185366,72.49814634,72.75456098
San Marino,SMR,81.2195122,81.72195122,81.97560976,82.1804878,82.50609756,82.83170732,82.99554324,83.15937916,83.32321508,,,
Somalia,SOM,51.77190244,52.05290244,52.35585366,52.68278049,53.01865854,53.3545122,53.68934146,54.02365854,54.35695122,54.6902439,55.02302439,55.35480488
Serbia,SRB,72.43658537,72.68292683,72.83414634,73.38536585,73.63170732,73.88536585,73.98536585,74.33658537,74.53658537,74.83658537,75.18536585,75.53414634
Sub-Saharan Africa (developing only),SSA,51.48327053,52.05928918,52.71464126,53.42989884,54.17609983,54.92362144,55.65032524,56.33506628,56.9657557,57.54516382,58.0758432,58.55832657
South Sudan,SSD,50.37409756,50.76241463,51.17163415,51.61329268,52.08785366,52.59331707,53.12265854,53.66490244,54.205,54.727,55.22090244,55.68221951
Sub-Saharan Africa (all income levels),SSF,51.48673192,52.06259887,52.71754003,53.43246063,54.17838993,54.92559063,55.65196615,56.33649504,56.96685623,57.54621094,58.07660953,58.55893507
Small states,SST,60.9191484,61.26604257,61.72338452,62.24007029,62.79669251,63.32115484,63.80297194,64.21060844,64.5516685,64.84853809,65.07560905,65.27192218
Sao Tome and Principe,STP,63.96512195,64.26129268,64.57690244,64.89246341,65.188,65.45053659,65.67260976,65.85468293,66.00378049,66.13390244,66.2595122,66.38460976
Suriname,SUR,68.32963415,68.56597561,68.846,69.15673171,69.47907317,69.795,70.09290244,70.36273171,70.59939024,70.80631707,70.99,71.15143902
Slovak Republic,SVK,73.60487805,73.95853659,73.90487805,74.20487805,74.20731707,74.70487805,74.9097561,75.11219512,75.95853659,76.1097561,76.41219512,76.71463415
Slovenia,SVN,76.85853659,77.20731707,77.61219512,78.08658537,78.56097561,78.76585366,78.97073171,79.42195122,79.97073171,80.12439024,80.32195122,80.5195122
Sweden,SWE,80.09512195,80.49756098,80.54634146,80.74878049,80.9,81.1,81.35121951,81.45121951,81.80243902,81.70487805,81.95609756,81.95609756
Swaziland,SWZ,45.95809756,45.74534146,45.86007317,46.24136585,46.77239024,47.34582927,47.8927561,48.3457561,48.66139024,48.85063415,48.93792683,48.93473171
Sint Maarten (Dutch part),SXM,,,,,74.54390244,74.53658537,75.58780488,,,73.05365854,,
Seychelles,SYC,71.02926829,72.6097561,72.13170732,72.21707317,73.19268293,73.16341463,73.03414634,73.19756098,72.72439024,74.22682927,73.1195122,73.22926829
Syrian Arab Republic,SYR,73.73136585,74.09568293,74.36385366,74.43241463,74.24607317,73.7972439,73.12041463,72.30743902,71.48614634,70.78590244,70.30153659,70.07102439
Turks and Caicos Islands,TCA,,,,,,,,,,,,
Chad,TCD,47.68185366,47.79582927,47.97390244,48.23002439,48.55921951,48.95158537,49.39317073,49.86207317,50.33195122,50.78139024,51.1914878,51.55580488
Togo,TGO,53.88712195,54.16321951,54.50797561,54.9307561,55.43343902,56.00590244,56.63060976,57.28156098,57.93078049,58.55385366,59.13236585,59.65580488
Thailand,THA,71.43392683,71.78646341,72.15726829,72.52573171,72.87443902,73.18843902,73.46173171,73.69436585,73.89239024,74.07190244,74.24692683,74.42202439
Tajikistan,TJK,65.002,65.53702439,66.09721951,66.66180488,67.2074878,67.71458537,68.17053659,68.56339024,68.89178049,69.16697561,69.40017073,69.59797561
Turkmenistan,TKM,64.24039024,64.33743902,64.43236585,64.53180488,64.63882927,64.75607317,64.88353659,65.0212439,65.16560976,65.31158537,65.45656098,65.59853659
Timor-Leste,TLS,62.20790244,63.19297561,64.15609756,65.04785366,65.82419512,66.45782927,66.94668293,67.30839024,67.57673171,67.80014634,68.02090244,68.25914634
Tonga,TON,71.17543902,71.31443902,71.45334146,71.59370732,71.737,71.88319512,72.0317561,72.18260976,72.33473171,72.488,72.64034146,72.79219512
Trinidad and Tobago,TTO,68.78426829,68.87182927,68.97904878,69.10834146,69.25965854,69.42892683,69.61058537,69.79756098,69.98031707,70.15139024,70.30529268,70.44056098
Tunisia,TUN,73.05121951,73.30243902,73.50243902,73.9,74.20243902,74.30243902,74.45121951,74.60243902,74.34390244,73.99512195,74.04390244,74.14390244
Turkey,TUR,71.57419512,72.02987805,72.44812195,72.82858537,73.17707317,73.5007561,73.80321951,74.09092683,74.36734146,74.63680488,74.90070732,75.1635122
Tanzania,TZA,53.28417073,54.4162439,55.60478049,56.832,58.07778049,59.31470732,60.5095122,61.62560976,62.63209756,63.52090244,64.29182927,64.94390244
Uganda,UGA,49.58780488,50.7012439,51.77021951,52.75704878,53.65414634,54.46197561,55.18209756,55.83665854,56.4637561,57.10019512,57.76768293,58.46641463
Ukraine,UKR,68.21073171,68.18536585,67.95682927,68.07756098,68.22219512,68.25146341,69.19,70.26536585,70.80926829,70.94414634,71.1595122,71.18658537
Upper middle income,UMC,71.91854071,72.23865333,72.53288863,72.8127761,73.07629898,73.32238816,73.56871619,73.79015381,74.01658375,74.23140797,74.44762351,74.65762609
Uruguay,URY,75.2845122,75.46441463,75.63470732,75.79641463,75.95102439,76.10107317,76.24858537,76.39460976,76.54119512,76.68839024,76.83619512,76.98614634
United States,USA,66.79268293,77.48780488,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.84146341,78.94146341
Uzbekistan,UZB,67.18660976,67.26502439,67.34704878,67.43514634,67.53121951,67.63419512,67.74456098,67.86129268,67.98141463,68.10197561,68.222,68.33902439
St. Vincent and the Grenadines,VCT,70.84914634,71.02129268,71.22890244,71.46021951,71.69941463,71.93173171,72.15007317,72.34639024,72.5187561,72.67185366,72.81087805,72.93685366
"Venezuela, RB",VEN,72.94456098,73.08643902,73.20331707,73.30104878,73.38890244,73.4762439,73.568,73.67160976,73.79165854,73.92573171,74.07441463,74.23619512
Virgin Islands (U.S.),VIR,78.17317073,78.72439024,78.52439024,78.62439024,78.82439024,78.92439024,79.07317073,79.17317073,79.37317073,79.47317073,79.62439024,79.77317073
Vietnam,VNM,73.77253659,73.95902439,74.13812195,74.31236585,74.48385366,74.65309756,74.82260976,74.99036585,75.15680488,75.31939024,75.477,75.62912195
Vanuatu,VUT,68.65170732,68.99,69.31785366,69.6367561,69.94873171,70.2547561,70.55582927,70.84995122,71.13456098,71.40817073,71.6692439,71.91831707
West Bank and Gaza,PSE,71.20753659,71.33946341,71.47087805,71.60587805,71.74704878,71.89495122,72.05109756,72.21492683,72.38539024,72.55885366,72.7322439,72.90402439
World,WLD,67.95513956,68.75235777,69.01347126,69.33913143,69.64190131,69.91476017,70.22039745,70.48551572,70.76468405,71.00381752,71.24132715,71.45174503
Samoa,WSM,70.42626829,70.71460976,70.99692683,71.27865854,71.56078049,71.84429268,72.13068293,72.417,72.70126829,72.98004878,73.25039024,73.51182927
"Yemen, Rep.",YEM,61.09182927,61.29265854,61.49792683,61.71717073,61.95480488,62.21136585,62.48534146,62.76873171,63.05353659,63.32729268,63.5835122,63.81819512
South Africa,ZAF,52.5237561,51.8737561,51.55734146,51.61370732,51.9965122,52.63602439,53.46709756,54.3907561,55.29565854,56.09831707,56.73658537,57.18212195
"Congo, Dem. Rep.",COD,52.10678049,52.87926829,53.63829268,54.36782927,55.06441463,55.724,56.33707317,56.89614634,57.39863415,57.85407317,58.27192683,58.65919512
Zambia,ZMB,46.53863415,47.93239024,49.42939024,50.96660976,52.47714634,53.90563415,55.21417073,56.38385366,57.42219512,58.36331707,59.23736585,60.04704878
Zimbabwe,ZWE,40.7024878,41.05934146,41.75960976,42.81070732,44.1777561,45.8044878,47.62465854,49.57465854,51.60036585,53.64307317,55.633,57.49831707